Stock Code,Company,Board,Listing Date,Amount Raised (RM),Shares Listed,Listing Price (RM),First Day Closing Price (RM),First Day Closing vs Listing Price Premium / Discount (%),Current Closing Price (RM),First Day Closing Market Capitalisation (RM),Current Closing Market Capitalisation (RM),Current Market Cap vs First Day Closing Market Cap (%),Adviser / managing underwriter
0285,MERCURY SECURITIES GROUP BERHAD,ACE MARKET,19/09/2023,"57,152,000","893,000,000",0.250,0.300,20.00,0.390,"267,900,000","348,270,000",30.00,Public Investment Bank Berhad
0286,EVERGREEN MAX CASH CAPITAL BERHAD,ACE MARKET,26/09/2023,"74,544,000","1,114,902,499",0.240,0.315,31.25,0.355,"351,194,287","395,790,387",12.70,MERCURY SECURITIES SDN BHD
0287,SSF HOME GROUP BERHAD,ACE MARKET,12/10/2023,"56,000,000","800,000,000",0.250,0.265,6.00,0.350,"212,000,000","280,000,000",32.08,M & A SECURITIES SDN BHD
0288,MINOX INTERNATIONAL GROUP BERHAD,ACE MARKET,17/10/2023,"27,000,000","360,000,000",0.250,0.370,48.00,0.235,"133,200,000","84,600,000",-36.49,M & A SECURITIES SDN BHD
0289,PLYTEC HOLDING BERHAD,ACE MARKET,15/11/2023,"55,151,495","606,060,600",0.350,0.325,-7.14,0.315,"196,969,695","190,909,089",-3.08,KAF INVESTMENT BANK BERHAD
0290,PANDA ECO SYSTEM BERHAD,ACE MARKET,27/11/2023,"27,375,488","671,187,000",0.160,0.260,62.50,0.320,"174,508,620","214,779,840",23.08,M & A SECURITIES SDN BHD
5317,CPE TECHNOLOGY BERHAD,MAIN MARKET,07/12/2023,"251,406,879","671,314,791",1.070,0.915,-14.49,1.060,"614,253,034","711,593,678",15.85,KAF Investment Bank Berhad
0291,CRITICAL HOLDINGS BERHAD,ACE MARKET,18/12/2023,"39,032,665","371,739,000",0.350,0.570,62.86,0.835,"211,891,230","310,402,065",46.49,MIDF AMANAH INVESTMENT BANK BERHAD
0292,JATI TINGGI GROUP BERHAD,ACE MARKET,20/12/2023,"27,486,000","391,800,800",0.270,0.310,14.81,0.480,"121,458,248","188,064,384",54.84,TA SECURITIES HOLDINGS BERHAD
0293,KJTS GROUP BERHAD,ACE MARKET,26/01/2024,"58,867,344","688,000,000",0.270,0.500,85.19,0.650,"344,000,000","447,200,000",30.00,Hong Leong Investment bank
0295,MASTER TEC GROUP BERHAD,ACE MARKET,29/01/2024,"111,384,000","1,020,000,000",0.390,0.360,-7.69,1.030,"367,200,000","1,050,600,000",186.11,SJ SECURITIES SDN BHD
0296,HE GROUP BERHAD,ACE MARKET,30/01/2024,"36,649,116","440,000,000",0.280,0.325,16.07,0.550,"143,000,000","242,000,000",69.23,Alliance Islamic bank Berhad
0297,TSA GROUP BERHAD,ACE MARKET,02/02/2024,"42,528,750","309,300,000",0.550,0.575,4.55,0.860,"177,847,500","265,998,000",49.57,AMINVESTMENT BANK BERHAD
0298,WENTEL ENGINEERING HOLDINGS BERHAD,ACE MARKET,06/02/2024,"82,992,000","1,150,000,000",0.260,0.280,7.69,0.330,"322,000,000","379,500,000",17.86,TA SECURITIES HOLDINGS BERHAD
0299,AGX GROUP BERHAD,ACE MARKET,07/02/2024,"44,275,000","432,866,125",0.350,0.360,2.86,0.475,"155,831,805","205,611,409",31.94,TA SECURITIES HOLDINGS BERHAD
0303,ALPHA IVF GROUP BERHAD,ACE MARKET,22/03/2024,"466,560,000","4,860,000,000",0.320,0.320,0.00,0.320,"1,555,200,000","1,555,200,000",0.00,AmInvestment Bank Berhad
5320,PROLINTAS INFRA BUSINESS TRUST,MAIN MARKET,25/03/2024,"445,265,000","1,100,000,000",0.950,0.970,2.11,0.930,"1,067,000,000","1,023,000,000",-4.12,AMINVESTMENT BANK BERHAD
0301,ZANTAT HOLDINGS BERHAD,ACE MARKET,27/03/2024,"18,200,000","280,000,000",0.250,0.375,50.00,0.350,"105,000,000","98,000,000",-6.67,M & A SECURITIES SDN BHD
0300,SBH MARINE HOLDINGS BERHAD,ACE MARKET,08/04/2024,"50,600,000","888,000,000",0.220,0.255,15.91,0.275,"226,440,000","244,200,000",7.84,KAF INVESTMENT BANK BERHAD
5321,KEYFIELD INTERNATIONAL BERHAD,MAIN MARKET,22/04/2024,"188,064,000","800,000,000",0.900,1.930,114.44,2.380,"1,544,000,000","1,910,704,817",23.75,M&A SECURITIES SDN BHD
0302,TOPMIX BERHAD,ACE MARKET,23/04/2024,"31,744,620","393,856,000",0.310,0.420,35.48,0.520,"165,419,520","204,805,120",23.81,M&A SECURITIES SDN BHD
5319,MKH OIL PALM (EAST KALIMANTAN) BERHAD,MAIN MARKET,30/04/2024,"155,438,774","1,023,590,845",0.620,0.615,-0.81,0.565,"629,508,370","578,328,827",-8.13,M & A SECURITIES SDN BHD
0304,FARM PRICE HOLDINGS BERHAD,ACE MARKET,14/05/2024,"32,400,000","450,000,000",0.240,0.410,70.83,0.590,"184,500,000","265,500,000",43.90,ALLIANCE ISLAMIC BANK BERHAD
0305,SIN-KUNG LOGISTICS BERHAD,ACE MARKET,15/05/2024,"39,455,000","1,200,000,000",0.130,0.140,7.69,0.165,"168,000,000","198,000,000",17.86,M & A SECURITIES SDN BHD
5322,FEYTECH HOLDINGS BERHAD,MAIN MARKET,21/05/2024,"202,352,640","843,200,000",0.800,1.100,37.50,0.910,"927,520,000","767,312,000",-17.27,TA SECURITIES HOLDINGS BERHAD
03058,TOTAL DYNAMIC HOLDINGS BERHAD,LEAP MARKET,27/05/2024,"5,009,800","250,000,100",0.200,0.260,30.00,0.275,"65,000,026","68,750,028",5.77,WYNCORP ADVISORY SDN BHD
0306,SMART ASIA CHEMICAL BHD,ACE MARKET,28/05/2024,"37,400,000","369,850,420",0.400,0.460,15.00,0.315,"170,131,193","116,502,882",-31.52,Mercury Securities Sdn Bhd
0307,KAWAN RENERGY BERHAD,ACE MARKET,29/05/2024,"43,350,000","550,000,000",0.300,0.465,55.00,0.615,"255,750,000","338,250,000",32.26,M & A SECURITIES SDN BHD
0308,KTI LANDMARK BERHAD,ACE MARKET,19/06/2024,"61,500,000","800,000,000",0.300,0.285,-5.00,0.245,"228,000,000","196,000,000",-14.04,M & A SECURITIES SDN BHD
